Comments,Type
"everyone talks about how lucky we are to be living in a time period that&#39;s so advanced where we have all the answers, but that&#39;s probably what everyone thought. back in medieval china, they probably felt lucky since at the time they were living with all the answers. and in a couple hundred years, those people will be talking about how lucky they are since they get all the answers. the only reason we feel lucky and think we know all the answers is because we haven&#39;t seen what the future is like. we can look back on medieval china and think, ""wow, did they really do that? i can&#39;t believe they thought those things! they&#39;re so un-advanced compared to us now."" but in a few hundred years, thats how people will view our lives! it&#39;s all a matter of perspective: every time you live in is a lucky time to live in as long as you don&#39;t know what you&#39;re missing. but if you do know what you&#39;re missing, then no matter what time you live in, you&#39;ll know things could be way better. essentially, what i am trying to say is that everyone views the time period they live in as the best time to be alive. it may not be logically true, but as long as you believe it, then it is.",1.0
wow i love you man.  i want the full answer. you and i are both passionate about knowledge thinking and nature. you are so close to a beginning religion in this video. not but sort of. what elements are formed in black holes? or quasars? red dwarfs? green goblins? joke. you are awesome khan.  the great khan.,1.0
excellent series.,1.0
"thank you gys, as usual. great intrnational communitarian work. keep it on!",1.0
"an atom has different chemical and physical characteristics before and after chemical reaction. this is because either photons will be dissipated out to the surroundings or absorbed from the surroundings from the atom during the reaction. in other words, the different saturation of photons on its nucleons will cause different flexure to the unique nucleus structure therefore the atom has different chemical and physical characteristics before and after chemical reaction. different flexure of the unique nucleus structure will mold different orientation and configuration of its electrons before and after chemical reaction. in other words, the different flexure of unique nucleus structure will mold its orbitals therefore the atomhas different chemical and physical characteristics. how we know this is true?einstein&#39;s famous equation, e=mc^2 is wrong otherwise garbage also can be used to make nuclear bombs as long as it is matter or it has mass. energy and matter can&#39;t interchange one another according to einstein&#39;s famous equation. one must have photons before one can emit out photons. photons are particles and they have mass. all forms of emws including light and heat are dynamic photons per volume per time in different saturations. precisely, chemical energy is also dynamic photons per volume per time in specific saturations. if you are interested in real discoveries, i would recommend you to read my book, the unification theory - volume one and you will be amazed with lots of new, interesting discoveries. in god i trust.",1.0
this teacher has a passion for chemistry.,1.0
i luv khan academy we went through everything together,1.0
i earned my ba in 2015. took stats to fulfill the gen ed requirements. enrolled in intro chem soon.. can someone suggest what kind of math i should brush up on if it will help? thank you.,1.0
"school fails to show this in the light it deserves. its all about standardized testing and making students. it should be about the discovery of life, reality, and truth. i think it was sweden that lets kids pick what they wanna be, then tailors them throughout schooling to be the best in their fields.",1.0
"i think brilliant light power has chemistry completely figured out. chemical design + synthesis can now be done on a computer, and a program can decide the best routes of synthesis.",1.0
"loved this video, helped out a lot!",1.0
chemistry is the programming language of the universe!!,1.0
hello khan academy actually i was stuck at chemical reactions arent khan academy teaching displacement reactions? i logged in khan academy as well but i cannot find a single video of displacement reactionsi would be thankful for your kindly reply,1.0
i have never done chemistry until uni and i was actually having a mental breakdown before watching this :&#39;( thank you for shedding some light onto me,1.0
i wanted to know that does this whole chemistry course on khan academy cover everything in high school and some college.just how much does it cover.,1.0
"i watch this every year , so good khan academy",1.0
khan academy gives free online education in my school khan academy but we have never gone because of lack issue and mentaly problem it means mindset ,1.0
"oh, its khan academy, ill definetly want to donate to this, its very helpful when i want to know how things work.",1.0
your voice is perfect for thisedit1. i think learning other languages through math would be easy af cause 1+1 would be easy to explain even through sing language or charadesedit 2 trust me i know man dr stone the anime opened my eyes to what chemistry coule do it ciuls rebuild our civilization in no time if you could find the right stuff and the us is huge compared to most countries so im sure we could find most of it here,1.0
"great video, thank you",1.0
i love chemistry ,1.0
"i just woke up one morning and thought ""i should learn basic chemistry!"" so here i am.",1.0
very informative video,1.0
its really splendid,1.0
"awesome, thank you",1.0
"would you please urgently answer this question: cl atom ,for example, has 17 positive protons and 17 negative electrons so that the atom has to be this way uncharged or charge-balanced, why then in nature it tends to dorm covalent bond with another cl atom or ionic bond with h?",1.0
this guy is the neil degrasse tyson of chemistry,1.0
great jobs! is a book go with these vidios?thanks!,1.0
"yes this video will help me to, qualify in common entrance exam for pg.",1.0
i came here because of friend who suggested this channel. gonna use it for chem lab exams,1.0
basically sal&#39;s reason for why i should love chemistry is the same reason my mom gives me for eating my food. :plove ka!,1.0
khan academy is a legend!!,1.0
chemistry... is.. the science.... of change.,1.0
so simplified. more grease to your elbows,1.0
@khan academy it would be  more better if you cover about middle school chemistry.,1.0
do you guys have this chemistry playlist as a course in khan academy app?,1.0
"great video, but the periodic table is not up to date with the new element names.",1.0
there are two playlist for chemistry .. which one is better ?,1.0
please do videos on heisenberg&#39;s uncertainty principle.,1.0
nice ,1.0
khan academy is the most helpful acedemy for concept love u ,1.0
would anyone happen to know any great chemistry resources in spanish for esl(english second language) students?,1.0
khan are you redoing ur videos in chem??? im really excited,1.0
this made my daughter top in whole class,1.0
oh i think i started to love chemistrty acter this video thanks a lot ,1.0
"i was bambling thru chemistry, thanks you, your talks kind of calmed me down",1.0
whoa is the chemistry section getting an upgrade?!?!?!?!? omg yesssss,1.0
can i listen to these lectures for neet exam in india held after 12th grade? cause the syllabus is literally too much and too hard:(,1.0
awesome! ,1.0
sir can you prepare notes on chemistry for class 12,1.0
alright..here i am studying this all over again to prepare for the gamsat,1.0
i am not even in collage but i am interested in biology chemistry and staff like that,1.0
keep it up!!,1.0
my highshool chem teacher was dog water...  so much that i never knew how interesting chem can be. guess im learning here now.,1.0
khan academy + crash course > school,1.0
"in 2017 i was working in it support mainly in windows environments.i wanted to do something different and found these videos. i followed your videos every day and when i felt comfortable enough i also started setting up a lab environment that was meant to replicate how an enterprise environment is set up using kvm.after about 5 months of a minimum of 3 hours per day learning, i felt comfortable enough to add linux and some other skills to my linkedin profile. a few weeks after that i got a call from arecruiter and eventually landed my first linux sysadmin job. this was in the beginning of 2018.i&#39;m still at the same job, however the position has developed into more of a devops type of role and i work in aws, kubernetes and everything is infrastructure as code nowadays. i&#39;ve learned so much these past 4 years and i really love my job and how the industry constantly changes.i just want to thank you for making these videos that allowed me to be where i am today. what you do is invaluable.",
"took a linux course few years back and the guy made it seem impossible to learn, been playing on my own for awhile but this is by far the best i&#39;ve come across! thank you very much! will be continuing my journey &amp; excited to do so!",1.0
i just wanted to come back here and say despite the fact that these videos are slightly on the old side they are excellent. this is quite literately all you need and then some if you&#39;re a software engineer working on a linux platform.,1.0
the most important thing that i have taken away from this series so far is that there is at least one person on this planet who knows how to post a video tutorial series... my biggest pet peeve is going to someone&#39;s channel for a series and its either posted in reverse or only partially completed. so thank you for the series and for knowing how to upload videos in order lol,1.0
"i commit myself for 30 day&#39;s to your course. thanks for putting this together, my whole house already runs linux. i started my own business in virtualization. so this is a great way to become a sysadmin in linux, i absolutely love it, and after your course i hope i can rent myself to companies as a linux sysadmin! stay tuned! and thanks for beign awesome!",1.0
thanks so much for making this course dave. this is exactly what i need to get started with linux and terminal. i have only watched a few so far but i have learned a lot.,1.0
this linux tutorial series is awesome! i have learned so much from your videos. i have watched your entire series. i would love to see you do a series on setting up more services like apache or php. keep up the good work@,1.0
"thanks you so much for these courses. i&#39;ve been working as a sysadmin of backups &amp; storage tools, using linux and unix a lot, but never as a real linux/unix admin, only editing files, changing permissions mounting and dismounting, and that type of basic operative tasks. now i&#39;m taking this course and practicing and understanding at a much deeper level what i&#39;ve been doing all these years. hopefully, i could switch my career to linux admin. gotta admit that the aix smitty tool for installing, upgrading, etc, is really powerful. linux could benefit from something like that.",1.0
recently started taking an interest into linux and becoming a sysadmin one day. will come back in a year to update how the journey is going. thank you so much for this course,1.0
"hey man loving your videos so far keep doing a great job, my cs degree program is about this fall and i plan to develop on linux but as i am right now (having no knowledge of linux basically used windows all my life, and have become pretty tires of it because of windows 10), fortunately i came unto your  channel. i have been researching for past few days and have gotten used to linux specific terminology. what distro wouls you recommend to  me a beginner to learn development primarily c++ and python along with system administration. there has to be a linux distro that has all of it straped and ready for my use without me needing to manually configure anything...i did use lubuntu a few years and i just ran back to win 7.please help and thanks for your service to the linux community",1.0
"just want to say thank you. your vids gave me the confidence and knowledge i needed to score a job working at google. i&#39;ve known a little about linux for awhile, but the way you present the info here made it possible to learn what i needed in order  to do what had to be done. so thank you kindly brother!",1.0
"i am studying for a new job right now, you have no idea how helpful you have been with these videos.wherever you are, i hope that you are doing well.",1.0
"dave, thank you so much for taking the time and effort to create and post these videos!",1.0
"greatest playlist ever created for linux. i remember going through the playlist an year or two back and having remembered how good you were, i specifically searched &amp; found you again &amp; now again going through the whole playlist to brush up my skills. you da man!",1.0
i am rewatching this series and learning a lot. thank you for creating this!,1.0
"loved this series.  first one that made using the terminal easy and manageable (for me anyway).switched over fully from windows about 3 months ago even though i&#39;ve been playing with linux on and off for about 6-7 years.  loving every minute at the moment (can&#39;t say the same about previous experiences).  linux is getting better and better and imho has far surpassed windows (for me).  shells should come with a &quot;he who dares, wins&quot; message upon first startup.",1.0
thanks for this course. it will improve my basic knowledge of system administration that i did not learn during college. a good way to spent time on the pandemic.,1.0
"hi,first i would like to say thank you for sharing this great knowledge. second, this is a great tutorial and please keep posting more of this excellent material.merry christmas everyone ...",1.0
"hey buddy, i got a sysadmin job for a major company, and i didn&#39;t know how much i loved this stuff until i started. i&#39;m taking your course to hopefully expand my career in something i love, and i cant thank you enough for putting  this up. cant wait to start.",1.0
"super awesome playlist and course, really. learned some at the course of my current job as qa, but want to advance towards sysadmin through the next year or so.wanted to ask, is this course still viable? i do know that it covers pretty much everything i&#39;m gonna need to know, but if there&#39;s something that was updated or need to learn besides this, i&#39;d be happy to know!",1.0
"thanks for this vid! very helpful for a windows tech support like me, planning to dive deeper into linux.",1.0
thank god i have stumbled upon this! you are the man this is just what i needed and totally free. much respect and thanks subbed and will be tuning into all your new vids!,1.0
 .   .    .,1.0
"hi, dave!  i&#39;m just about to begin dealing with a linux server for work, and started you-tubing it, when i came across your sysadmin course intro. awesome stuff!  great job on presentation, articulation, material knowledge etc.   i noticed that there are 12 videos in this series, and was curious if you&#39;re planning on creating additional videos related to this topic?   if so, when?  tx so very much!",1.0
"thanks for so detailed video for beginners! dude, you do it really great!",1.0
"i&#39;ve been using linux for years but it&#39;s not until now that i&#39;ve been interested in anything beyond the dirt floor basics (that is to say, beyond apt-get, pretty much), and it&#39;s because a friend of mine introduced me to using linux in bioinformatics, since there&#39;s a massive store of non-profit applications written in this field that anyone can use.so thanks for making these videos.also &quot;command line heavy&quot; is probably what most people watching this wants to hear, i sure know i do xdit&#39;s not like anyone needs a tutorial in the gui based stuff since it&#39;s more or less exactly like windows these days.",1.0
+100 man. finally had enough of windows and totally replaced windows with ubuntu on my only computer. i didnt even want to set up a dual boot or shell; just jumping in the deep end.hope this crash course into linux is as good as it seems!,1.0
hey tutoriallinux! thanks for these videos. it would be really helpful if you could recommend some book to follow along with this course,1.0
wow ! sounds promising. i am very excited and curious. i take your word and start learning from today. thank you very much for being very generous.,1.0
these should be fun videos. i&#39;ve got a fair amount of experience(and it&#39;s been my daily driver for years) but there are definitely holes in my understanding.,1.0
"dave, this intro has got me very excited to learn linux, thank you!",1.0
"decided to learn linux over the summer. this series sounds promising, thank you for posting!",1.0
this is gold!!!...thank you so much for your help and contribution .,1.0
you can say those exact words in 2021 and still up to date! thank you,1.0
"wow, thanks so much for these!  so so helpful sir, i really appreciate it!!     subbed.  cheers.",1.0
hi i am starting this course and following all the videos i may be late but better late than never. i will try to finish the videos over this bank holiday weekend (i got 4 days of full learning to do). or do you recommend i take my time and spread out the videos. i&#39;ll keep you guys updated with my progress!,1.0
"thanks for making these.im a junior windows sysadmin, interested in learning about linux, and it&#39;s hard to find quality, comprehensive on a lot of this stuff.",1.0
i am so glad to see this!!   diving into the linux world head first.,1.0
i just started this course. i&#39;m looking to gather enough skills to be able to run a witness node on steemit. looking forward to the rest of the course!,1.0
thank you so much.i&#39;ve just refocused on my incomplete linux admin course...and found this.definitely a sign.:-d,1.0
"dave, first of all, let me say you are a frakkin hero for posting all these videos. i have already been through 3 different videos, and i am really liking it.i had a question for you :do you think a linux+ certification will be helpful for a beginner looking to get into the linux-admin job market ?",1.0
"quick question / ask: is there any way you can put in the 1st video description, or on a blog post somewhere every single linux tool that has to be downloaded/installed for the entire program? i watch your videos from the office where my proxy prevents me from actually apt-get&#39;ting things. (the repo rejects my connection request) it would be ultra handy if i had a list of all the little apps and modules ahead of time so i can pre-install them prior to starting to &#39;course&#39;. could you put a quick blog post up on https://tutorialinux.com for those of us who prefer (or need to) install all of these ahead of time? secondly, in this video you mention you&#39;re not going down the pentesting road &quot;too far&quot;. can you recommend a similar resource for someone that may want to adventure that way after this? thanks! thanks for taking the time to put out quality content like this. i look forward to going through the entirety of your video program.edit: for anyone who wants another way to practice what you&#39;re learning here, check out overthewire wargames. they&#39;re ssh linux instances set up in ways that present a challenge or a problem that you have to solve using command line tools in linux. a great way to enforce the learning material we&#39;re getting from here. http://overthewire.org/wargames/",1.0
"thank you dave!!! you are a great human being, thank you for sharing the knowledge....",1.0
i recently became a linux convert (removed windows and installed linux mint). looking forward to your course and learning all i can about the linux os.,1.0
"i am rewatching this again, i started it a while ago and then stopped in between but this time i am truly committing.",1.0
"hey @tutoriallinux,i&#39;m looking forward to take this course, however i wonder whether i should go through this course in my manjaro linux (just switched to manajro for my main operating system a week ago and now want to learn more about how the system actually works) or if i should rather use a vm just like you do in the course of this series?is there anything i could possibly break when doing the course in my livesystem?looking forward to hearing from you :)",1.0
"guys, i am a junior backend developer working node.js and mysql, i never used linux before, i wanna ask whether this course will be of benefit to me in that regard or not and if yes, do i need any prerequisites, and most importantly are the materials still relevant in 2019? thanks in advance",1.0
great series. keep up the good work.,1.0
"hello! i&#39;m about to start watching your videos to learn more about linux. i wanted to ask you: is there any major difference about the knowledge or the procedures of this course and the latest version of ubuntu? should i have something in mind, any upgrade, any important feature? thank you!",1.0
"linux sysadmin basics?  more like &quot;wow, really great information this is!&quot;  thanks for putting all of these videos together.",1.0
thanks dave...these videos really helped me a lot in making my career...godspeed,1.0
"this course will help me to make my dreams come true :) commend this video, very helpful. i&#39;ll follow the rest of the course.",1.0
i&#39;m looking forward to your course! thanks!,1.0
dude honestly whenever someone tells me that they want to learn linux i always refer them to this playlist.,1.0
im about to take this course adn i feel really excited.introduction was great!,1.0
"thank you for this course, i will work though it. :)",1.0
"ok dave!  you got me...  the guy just below me has a story not unlike mine...  i cut my it teeth back in the 90&#39;s working as a junior sysadmin for a managed web hosting firm.  they ran windows servers, and sun solaris.  they sent me to sun for sysadmin i, ii, and tcp/ip for the sol environment...  linux was just coming in.  there is a web hosting firm that i would like to join, but i know i need major brush up.  in honor of what you helped the guy below, mannix graham, achieve, i pledge to dedicate at least 2 hours of work per night, after i get off work, and hammer these videos out!  who knows?  maybe this is gonna be a great primer for lpic... :d  i;m already on the 2nd video, and i have a laptop with centos 6.10 (final).  if i get any major questions, can i hit you here?  thanks!!!",1.0
"thanks man, ive been slacking and doubting about launching my learning on linux. true story, my friends are pro at these, and no jealousy i envy their skills and $$...im stock with you man. if you do have a private room, link me !lets go ",1.0
this is exactly what i needed right now ,1.0
"i have 4 years experience into windows, and a very basic into linux. i had a customer call to move all the unwanted files from root drive to other storage, coz root drive was 98% consumed and i miserably failed to do. so i told to myself i want to learn linux and i reached here",1.0
"well, with all the corona and stuff, might as well learn something new. thanks dave, will report back once i finish the course! :)",1.0
perfect course for linux users of all levels.,1.0
thank you so much for sharing so much information. :),1.0
"great tutorials! subscribed!!! thumbs up!!! thanks man, saved the day)))))))",1.0
"tried thousand of linux videos, finally i got this, almost feeling like got the jackpot... thanks...",1.0
"i hear so many good things about linux and its true i just started experimenting with ubuntu. the way linux feels to me is like using cydia on an iphone. -its very basic and hollow. -things are not readily available and not very fluent as lets say the mac. -if you need any app, you download it, and hopefully it will install if the &#39;dependencies&#39; are met. -all these apps look like some kid made them in his basement. do i feel comfortable installing them on my system.-why would a windows/mac user know anything about &#39;dependencies&#39; and sudo commands. -have you ever seen a mac/pc casual-user go into dos and type in commands to make apps install properly?  -even when it installs you don&#39;t know where it went. you see what i am trying to say here. there is no method or fluidity to ubuntu 16.0 to be specific. this is why windows and mac sell, because they understand that you need that feeling that apps are readily available on the dock or in the start menu and when you hover them they magnify and when you click on them they open. unlike ubuntu you don&#39;t even know if you clicked the taskbar app, you don&#39;t even know if is on. any app you open loves to take over the entire screen. like really i wasn&#39;t doing anything important before that, was i? yes sure i can put the apps i like in the bar and switch off the snap-to-edges option, but why should i have to ?ease of use is different than not being able to find the damn app in the first place. i will play around with it some more since all the great stuff in the world is based on linux. lolx. but there is a reason mac&#39;s and pc&#39;s sell and this stuff won&#39;t sell but anyone who can put up with it can use it, because its free.",1.0
"i have been trying to find a good course for basics can cover linux plus, but until now, i did not find any. i like your course, but to learn more, can you tell me please a website or videos to learn the basics? thank you",1.0
here i am 7 years and a month later. thank you!,1.0
can you provide a list of the videos in the natural order you intend them to be watched?,1.0
"now that&#39;s some intro, i think we owe your friend a big one for making you create this art",1.0
"&#39;i was going to make this for a friend and figured other people could benefit as well&#39;750k views later, looks like you&#39;ve done it :)",1.0
this sounds awesome. thanks for the videos.,1.0
"i got job thanks to your videos, thank you so much for what you are doing",1.0
"what a fantastic course - you&#39; re great!vy 73, de ve5ten",1.0
really nice tutorial and explanation...,1.0
god i am sooo grateful for guys like this dam thank you for sharing the love man!,1.0
"awesome! so i work in the low voltage field, i install, troubleshoot and repair security and fire systems, cameras, access control, networking and phone lines. i need to look for another career, dr said my back is in bad shape from all my years in hard labor. i had my first taste of linux about a year ago, i jumped on the wagon because i loved the idea of open source. i had my back surgery dec 1st, 2015. i am in recovery now and i don&#39;t want to waste this free time i have. i want to jump in to and learn as much about linux as i possibly can. in the networking aspect of my job i have installed and worked with cisco routers, i noticed that linux is making a huge progression in this field and i want to be a part of it. so for the next few days im going to hit your courses hard and keep track of my progress. thanks for taking the time to make these videos!",1.0
i&#39;m guessing this course would be applicable to linux mint? i see you have created many videos after this one. did you complete these course videos? thanks.,1.0
thank you very much. i really enjoy this !!,1.0
"this is my first linux course. i hope,  learn the basic of this topic. in addition to this course,  &#39;m gonna read documents. so let&#39;s get started. btw it&#39;s 22/06/07/ 13.22 yess",1.0
great channel. thanks for sharing.,1.0
"hey man, thanks for the vid, please make more !",1.0
would most of this still be applicable for linux 8?,1.0
"vielen dank fuer deine erklaerung...spitze... jetzt kommt das aber :) du machst es schnell in manchen sehr wichtigen punkten, so dass die anfaenger verloren gehen...:) still dir mal vor du bist sehr informativ und gut im bereich..aber in den situationen wo ich erwarte dass du langsam in einem punkt uebergehst..du spricht leise,schnell und gehst ..ohne details ...entschuldige...das ist keine kritik,ich bedanke mich und erwarte dass du langsam wirst wenn du etwas wichtiges mitte der erklaerungen machst.ich weiss nicht ob du deutsch kannst,aber ich habe gemerkt dass du deutsches geraet hast mit deutschen namen von monate: maerz :) :) :) .danke auf alle faelle",1.0
"wow, just wow... thanks for the videos! amazing &lt;3",1.0
"seems promising, gonna subscribe and follow!",1.0
"i just want to say thank you, i&#39;m starting with your videos now.",1.0
thank you for the video. i am sure it will help me a lot.,1.0
"hey, this course is quite_x000D_ tempting , but im one of that computer noobies you talked about lol. is there any good course to learn all of computer fundamentals ??",1.0
will switch to my suse for our next lesson; thanks again!,1.0
hi there! i am really loving linux. is this course still relevant today? i&#39;d like gain a deeper knowledge in linux. i assume there are no other updates since 2022.,1.0
"long shot of a question here. i confess that i am not a linux user. i did, however turn a freebie laptop into a lubuntu os based computer about 6 years ago (now, it&#39;s 2023). my issue, hence the question is, i forgot my administrator password and while i now know how to change the password at the root level, this has not propegated up to the desktop level. will this course help me to break the code to my own device?",1.0
thank you so much for these tutorials i wanted those.... i need help in one thing i am stuck in...i have installed ubuntu on a usb stick and followed the tutorials on the net to configure it so that it saves all the changes i made last time i connected it to a device...but it never actually works..i did those steps many times but everytime i reboot the usb all the changes are gone...please help i am stuck here from a long time!,1.0
"hey thanks for the videos, with this course can you prepare for the linux sysadmin certification?",1.0
can i apply the things that you are teaching on centos?,1.0
"thanks dave, i care for your efforts.",1.0
"hi dave ,how long did you work at the help desk before you became a linux sys admin ?",1.0
thanks man! you are the best!,1.0
thanks for sharing your knowledge of linux...,1.0
thanks for the tutorials idol. do you have your own website?,1.0
"just completed all 129 videos in this course! this course is amazing. i cannot imagine how much work and planning went into crafting of such high quality and comprehensive material. everything is explained extremely well and in the easiest way possible. all examples are great and to the point. there is neither fluff nor unnecessary complications. as someone who recently failed his intro to programming class (so i have little aptitude for programming), i found this course unbelievably helpful. thank you, neso academy! will donate as soon as i get a job.",1.0
there are many people on youtube that do not take the time to explain programming like you do. thanks for making such a high quality learning resource for free!,1.0
"thank you @neso academy for providing us this lecture series on java.... how much tym will you take to complete this course? and please don&#39;t leave the series in between and kindly complete all other courses which u have started (computer networks, operating system and especially c programming and data structures)please upload 1 vedio daily to keep us in touch with the subject. those who support my request with neso academy please like",1.0
"you&#39;re always my favourite channel whenever i need some help in understanding the concept and ways to progamming. evendough i&#39;m currently learning c++ with my lecterur, but i also try to learn java evendough it&#39;s not in my syllabus for this semester. if only i can pay you for this huge contribution, one day i&#39;ll promise inshallah",1.0
please start the tutorials for python programming also from beginner to advanced level. i appreciate your efforts towards spreading knowledge in technical domain. i purchased membership today to contribute towards quality content.,1.0
"just want to say thank you neso academy for your awesome courses!! i would kindly ask for a c++ course, but i know you will get there eventually :d",1.0
could you please do the same for python programming as well ? it would really help.,1.0
there is nothing free...but you are providing quality education freely that is very kindful...thank you from core of my heart. i will donate as much i can...,1.0
this is the best tutorial i have ever watch. many blessings neso you have really helped me understand java programming.,1.0
"to be honest you are a very good tutor ,clear and straight to the point",1.0
"i will surely contribute in future as much as possible because by this plateform i am learning alot and today im gonna to start java , after c language.. thank you so much @nesoacademy for such an amazing course",1.0
thank you @neso academy for providing us this lecture series on java. if you can add a c# series also.,1.0
"finally!!, this sets of tutorials helps me to understand more about java this quarantine, thanks sir",1.0
thanks to neso academy for providing this course. please upload datastructure and algorithms in java completely.,1.0
"after completing c language, now it&#39;s time to learn java let&#39;s do it! huge thanks to team neso",1.0
have been eagerly waiting for this day . so many times i have tried to learn java but couldn&#39;t now i think my dream will come true by neso academy,1.0
neso academy is the most underrated channel on youtube.thankyou so much for helping us to become a good it engineer. may god bless you all.,1.0
this is gold! thanks for sharing your knowledge with us,1.0
i am very excited to learn this language...!!   thank you sir...       please do not interrupt the course,1.0
this guy is the best teacher i will see in the internet. simple  method but very effective. thank you man(teacher),1.0
"sir,please provide all the lectures of java as soon as possible",1.0
